sector,stock_a,stock_b,adf_pvalue,half_life,passes
oil_psu,ONGC,COALINDIA,0.0005,14.4,True
auto_ancillaries,BALKRISIND,EXIDEIND,0.0014,16.7,True
banks_private_mid,FEDERALBNK,CUB,0.0016,17.0,True
consumer_durables,HAVELLS,CROMPTON,0.0017,26.3,True
pharma_large,SUNPHARMA,LUPIN,0.0024,19.9,True
financials_nbfc,BAJAJFINSV,CHOLAFIN,0.0032,20.1,True
infra,IRB,NBCC,0.0056,7.7,True
pharma_mid,TORNTPHARM,GLENMARK,0.0067,23.2,True
pharma_mid,ALKEM,GRANULES,0.007,25.8,True
renewable,ADANIGREEN,ADANIENSOL,0.0075,17.5,True
banks_large,AXISBANK,SBIN,0.0076,26.1,True
oil_psu,OIL,COALINDIA,0.0099,11.8,True
consumer_durables,VOLTAS,BLUESTARCO,0.01,7.5,True
fmcg,HINDUNILVR,DABUR,0.0125,21.5,True
realestate,GODREJPROP,LODHA,0.0129,20.0,True
cement,ULTRACEMCO,JKCEMENT,0.0134,18.0,True
infra,NCC,IRB,0.0146,9.6,True
steel,TATASTEEL,JINDALSTEL,0.0174,25.9,True
cement,SHREECEM,JKCEMENT,0.0221,19.4,True
fmcg,HINDUNILVR,ITC,0.0226,32.7,True
consumer_durables,HAVELLS,KEI,0.0247,18.8,True
financials_nbfc,CHOLAFIN,MUTHOOTFIN,0.0258,35.9,True
power,NTPC,TATAPOWER,0.0274,20.7,True
insurance_life,ICICIPRULI,LICI,0.0333,11.9,True
financials_nbfc,CHOLAFIN,MANAPPURAM,0.0338,32.2,True
oil_psu,ONGC,OIL,0.0361,15.8,True
industrials,SIEMENS,CGPOWER,0.0369,41.3,True
oil_marketing,IOC,HINDPETRO,0.0371,33.7,True
gas_distribution,MGL,ATGL,0.0423,8.0,True
consumer_durables,POLYCAB,KEI,0.0448,14.9,True
power,POWERGRID,TORNTPOWER,0.0471,15.4,True
banks_psu,BANKBARODA,INDIANB,0.0485,18.7,True
chemicals,SRF,ATUL,0.0503,19.8,False
cement,SHREECEM,AMBUJACEM,0.0503,40.0,False
steel,TATASTEEL,SAIL,0.0508,30.8,False
defence,BEL,BDL,0.0521,8.4,False
oil_psu,OIL,GAIL,0.0534,17.1,False
auto_ancillaries,MOTHERSON,BALKRISIND,0.0562,26.3,False
power,JSWENERGY,TORNTPOWER,0.0575,11.9,False
defence,BEL,MAZDOCK,0.0581,8.7,False
banks_psu,BANKBARODA,PNB,0.0591,27.3,False
two_wheelers,TVSMOTOR,EICHERMOT,0.0683,38.8,False
banks_psu,SBIN,UNIONBANK,0.0687,17.8,False
fmcg,ITC,DABUR,0.076,49.5,False
financials_nbfc,BAJFINANCE,MANAPPURAM,0.077,41.8,False
banks_private_mid,BANDHANBNK,CUB,0.0777,23.9,False
auto_ancillaries,MOTHERSON,EXIDEIND,0.0805,41.1,False
auto_ancillaries,APOLLOTYRE,EXIDEIND,0.0813,30.0,False
