,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
LALPATHLAB-METROPOLIS,1.4009880793394824,1.0445822007121717,,,,,,,,
HDFCBANK-ICICIBANK,,,,,8.339836692525264,4.045468257837359,4.7505285996819415,-5.568410439856355,,
HDFCBANK-KOTAKBANK,,1.3828287981837606,,2.2109152988184086,,,,,,
ICICIBANK-SBIN,1.1114643704419664,3.228300234413278,-0.8730793145430921,0.4526039457604171,,,,,,
AXISBANK-SBIN,-5.799751236570066,0.10170064548328417,,,,,,,,
AXISBANK-KOTAKBANK,,,,,,,,,0.5455170409065864,
AXISBANK-INDUSINDBK,,-6.421632706210165,1.0100375413474143,,,,,,,
SBIN-INDUSINDBK,-5.4493109284019665,-1.5643301577626436,,,,,,,,
SBIN-BANKBARODA,,,,,,3.873452437902239,0.022452223814876864,2.96349162844081,-1.492530901059511,
SBIN-CANBK,,,,,,,,,-2.7588872136259694,
SBIN-INDIANB,,,,,,,,-0.899255314781166,-3.8929997217946477,
BANKBARODA-CANBK,,,,,,,,,9.612262372819123,2.3328478241505293
BANKBARODA-PNB,,,-0.07059844310054929,-0.5886478934867506,,,,,,
CANBK-PNB,0.3480329658120974,-4.024521069822955,0.10097642987487512,,,,,-0.04931110441997138,-0.1732081418214162,0.21570008397402327
PNB-INDIANB,,,,,,,,,-8.520332288667747,5.538006231331187
FEDERALBNK-BANDHANBNK,,,,,,,,-9.975432190717669,-1.013051504488541,
FEDERALBNK-RBLBANK,3.287307787484876,-2.7503753823036705,0.6249011683139152,,,,,,,
FEDERALBNK-AUBANK,,,,,,,,,-1.6763511005564626,
FEDERALBNK-CUB,,,,6.028199528935823,0.4765007108729585,,,,,
IDFCFIRSTB-BANDHANBNK,,,,,,,7.677867402232227,,,
IDFCFIRSTB-RBLBANK,,,,,-2.892586652357013,9.094007668493491,,,,
IDFCFIRSTB-AUBANK,,,-1.1552726960688073,-0.8355167526739117,,,,1.6908054217414297,-3.820117305925196,-1.0411246419842204
BANDHANBNK-AUBANK,,0.684396452759869,1.4968877207071185,5.147721280256005,-0.09333055837288348,-2.6061527812871224,-3.364090939158584,,,
BAJAJFINSV-CHOLAFIN,1.9727967810558449,-1.856296303266621,-2.01231674213482,,,,2.823345663012804,2.223294494366628,1.0732077655753613,0.11486244592621232
BAJAJFINSV-SHRIRAMFIN,-1.4318071501897218,,,,-1.7242753672046354,,,,,
BAJAJFINSV-MUTHOOTFIN,5.563038112517179,-3.6680192684455126,-0.21134970272743506,,,,,,,
CHOLAFIN-MUTHOOTFIN,,,,-4.869733036845761,-6.953084702782708,,,,,
SHRIRAMFIN-MUTHOOTFIN,-1.0320633189265467,,,,,,,,,
SHRIRAMFIN-MANAPPURAM,,1.5201474600122882,-1.723638426312963,-2.191850754351776,,,,,,
HDFCLIFE-SBILIFE,,,,,,,,-4.535866555769603,-2.6434362300880903,
HDFCLIFE-LICI,,,,,,,,,,8.21382323967966
SBILIFE-ICICIPRULI,,,,,,,,,-5.225602690248397,1.8203363073520251
ICICIPRULI-LICI,,,,,,,,-6.938990541053442,2.639203109415898,
TCS-WIPRO,,1.001485164532229,3.0104896422100635,,,,,,,
TCS-HCLTECH,7.291131022647049,1.5545555825701394,,,,,,,,
TCS-TECHM,,,,,,,,,,
TCS-LTIM,,,,,2.2898721244218088,,,,,
INFY-WIPRO,,,,,,,,,0.5303326986033442,
INFY-TECHM,,3.8413272612458242,,,,-4.371370149304165,2.6348174949862275,,,
INFY-LTIM,,,,,6.1200937656656045,,,,,
HCLTECH-TECHM,,,,,,1.5049333762890775,5.267513547239329,,2.427982805366505,
HCLTECH-LTIM,-4.302910581158371,-3.096663849022826,,,,,-3.0135937698252344,1.2160264327927541,,
TECHM-LTIM,,,,,0.580627940074363,-0.4916288069486311,,,,
MPHASIS-COFORGE,,,2.412062685745976,,,,,,,
COFORGE-LTTS,-0.04940421037464295,-10.513238390083508,,,,,,,,
PERSISTENT-LTTS,0.33754731921466996,,,,,,,,,
ONGC-OIL,,,,,,,,0.9026472120770165,-1.5511313708637842,
ONGC-COALINDIA,,,,,-0.05333992864487876,,0.36124504691219494,,,
ONGC-GAIL,,1.6576164089934544,-3.519444757170276,,,1.6479050230057064,,0.5797524231294969,,
OIL-GAIL,,,,,,,,-0.01904232526503999,-4.6070523450179675,
COALINDIA-GAIL,,,,2.711379010201276,0.4889968991252359,2.137390522477098,,,-0.5111660015030871,2.5641462399366586
BPCL-IOC,,,,,,,,-1.4583525272607545,2.2637734877956834,
BPCL-HINDPETRO,-1.3065205910392277,-0.30918357956482284,,,,,,1.0538145307185263,-0.843052847239552,
IOC-HINDPETRO,3.263045357511872,-0.1770683552374055,-1.8519651492394782,,,,,1.4654959948574955,-1.0527440019881562,
IGL-MGL,,,,3.41057138057459,,,,,,
IGL-GUJGASLTD,,,,,15.240115814324728,,,,,
MGL-GUJGASLTD,,,1.2402499315691315,2.3231762512950676,,,,,,
NTPC-TATAPOWER,1.3986350891734427,-2.900245674894081,-1.5125062732772878,,,,,,,
NTPC-TORNTPOWER,,,,,,,7.1782512283308515,1.323961499450573,,
TATAPOWER-POWERGRID,,,,,5.3046005391781135,,4.465142384733307,3.3420715764702527,,
MARUTI-M&M,,,,,,,,,16.29126054699431,
BAJAJ-AUTO-HEROMOTOCO,,,,,,,-4.783322037500637,0.23904545851115158,-0.1040230677995878,
BAJAJ-AUTO-TVSMOTOR,-2.248938773186205,0.4274536073873022,,,,,,,0.9641028943831731,1.7333095209705593
BAJAJ-AUTO-EICHERMOT,,,,,,,,,,1.4624203282690693
HEROMOTOCO-TVSMOTOR,,,,,,,,,,10.345654253132468
HEROMOTOCO-EICHERMOT,,,,,,,,,,20.345996922658514
TVSMOTOR-EICHERMOT,,,,,,,,,6.58561293167662,-0.18734614552183873
MOTHERSON-BALKRISIND,,,,,1.526776692347946,,,,,
APOLLOTYRE-EXIDEIND,,,,,,1.7472994033478169,,,,
BALKRISIND-EXIDEIND,3.0666131735023576,,,,,,,,,
SUNPHARMA-DRREDDY,,,0.24939102828940965,-0.730604798007402,,,,-0.45708398829258284,,
SUNPHARMA-CIPLA,,,1.3619577092826163,1.085489258441475,,,,,,
SUNPHARMA-LUPIN,,,,,6.12588163201709,1.9153755342070518,0.24838180481043393,0.11213048768007328,-0.9934868311482319,
SUNPHARMA-AUROPHARMA,,,,,,,,2.75448772257007,2.079601902102067,1.408778923526812
DRREDDY-CIPLA,,-0.027985927862822075,0.32682043815365297,,,,2.1230916224467764,,,
DRREDDY-LUPIN,,,5.573258754465931,-1.2283780528340518,,,,,,
DRREDDY-AUROPHARMA,,,,,,,2.0002527774854624,-0.07000521204903669,,
DRREDDY-DIVISLAB,,,,,,,,,,
CIPLA-LUPIN,,,1.7500245044982088,-10.249254131492698,,,,,,
CIPLA-AUROPHARMA,,,,,3.1447412744634775,2.3979142070215453,-1.2003359275653922,,,
LUPIN-AUROPHARMA,,,,,,,,,2.909108411347349,-0.00904914576055254
TORNTPHARM-ALKEM,,,,,5.400445736764125,,-0.050081187555276546,,,
TORNTPHARM-GLENMARK,,,,,,2.0301265286678762,8.487148766533481,2.212794007591822,,
TORNTPHARM-GRANULES,,,,,7.200038038700791,2.4514288318784034,,,,
ALKEM-GRANULES,,,,,,,,,,
IPCALAB-GRANULES,,-3.102232249423545,0.3577570217158964,,,,,,,
APOLLOHOSP-MAXHEALTH,,,,,,,,,4.734142911792657,
ULTRACEMCO-AMBUJACEM,-2.6896953520277687,1.5241268652538789,,,,,,,-2.5022468338959913,
ULTRACEMCO-DALBHARAT,,,,,,,,,-1.5032278564211687,
ULTRACEMCO-JKCEMENT,0.7492562322099144,-2.9021888969558916,-4.240908280859295,,,,,,,
SHREECEM-DALBHARAT,,,,,,,,,,-2.907847214390713
AMBUJACEM-DALBHARAT,,,,,,,,2.677524447373293,-4.347535180155281,6.315471113838258
AMBUJACEM-JKCEMENT,-1.510743280326684,0.8024437274085258,,,,,,,,
ACC-DALBHARAT,,,,,,-4.683248753087109,0.7362399838615407,,,
ACC-JKCEMENT,,,-2.407607330496316,,,,,,,
DALBHARAT-RAMCOCEM,,,,-4.2766850195401505,0.518528856184142,,,,,
TATASTEEL-JSWSTEEL,,,,,,,,,1.7680487670031984,1.101039119921243
TATASTEEL-SAIL,,,,,,,0.6602457404354561,1.2461895881438179,2.466487339798359,-6.256030461099788
TATASTEEL-JINDALSTEL,3.5969721730832767,-0.06826234467917633,0.16836312543760673,,,,,,7.715207188559431,
TATASTEEL-NMDC,,,,,,,,,6.0886742319985165,10.429691023828454
JSWSTEEL-JINDALSTEL,,,0.25404033269360315,0.6824680873499066,,,,,-0.005431056609599407,-1.2607433098900838
JSWSTEEL-NMDC,,,,,,,,,,3.640637470358262
SAIL-JINDALSTEL,,,,,,,-0.7812565245983742,,,
SAIL-NMDC,,,,-1.8799976209526632,,,,,,
JINDALSTEL-NMDC,,,,,,,0.743489024703849,-1.0583615790197698,1.0386017672650194,3.2192266412048203
HINDALCO-VEDL,,,,1.0315472602816589,-1.3764870683666306,3.395917168038437,,,,
HINDALCO-HINDCOPPER,-0.22022858184551666,,,,,,,,,
VEDL-NATIONALUM,,,,,,,1.7462163652204206,0.9096181815744804,2.0864933735557045,4.32087220471997
HINDCOPPER-NATIONALUM,0.8703158001209691,,,,,,,,,
HINDUNILVR-ITC,,1.6397203213391733,-2.026022934118285,0.03731417121892065,,,,,,
HINDUNILVR-BRITANNIA,,,,,,-4.469136109834955,4.489849647765913,,,
HINDUNILVR-DABUR,-2.545379242047996,-0.17032823645985298,,,,,,,,
HINDUNILVR-COLPAL,,,,,,3.5489844116860962,-3.4099723227586076,,,
ITC-NESTLEIND,,,,,,,,,-5.005578680715782,4.249338123788086
ITC-DABUR,,-3.062154838666427,-3.941922015125565,,,,,,,
ITC-COLPAL,,,,,,,0.6202230065957413,2.2500266845960937,-2.5340435551820817,
