,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
HDFCBANK-KOTAKBANK,-0.4679417966345991,1.068210000245153,2.657472765673879,-0.6331063001228318,0.4129804414200882,-0.14360419086753937
HDFCBANK-INDUSINDBK,,-1.8063121830127788,0.7193840278587352,1.702434901108568,-2.5928728089708692,2.289848222473112
ICICIBANK-KOTAKBANK,-1.7222965910378984,1.4574474595609308,0.8051495416309425,2.5968394335278715,-0.9225763087751283,0.4761319520272679
AXISBANK-KOTAKBANK,-1.6460500506319706,1.3171927475097802,0.8516838531213157,2.2913086852082363,-0.09844543345358484,0.7288708229594658
SBIN-KOTAKBANK,-1.6725916698183902,1.3998929035121255,0.873988208337187,1.816433659489824,-0.2740098373738394,1.0214208890252887
KOTAKBANK-INDUSINDBK,-1.7280366766379502,1.6231163005589235,0.8715792663860626,2.5768768404811824,-0.8276739625774271,
BANKBARODA-PNB,-0.020575154823902608,0.586743020474723,-0.18908787844715902,-1.358580661368509,2.413653624340252,3.092982448068927
FEDERALBNK-BANDHANBNK,,1.0158245238771695,1.233132555872569,-0.6203744997244266,-0.42289616684458237,-0.0357959452370051
BANDHANBNK-AUBANK,,-0.4138581891299238,0.039022726981537116,-3.7237153468366024,0.4272470023508292,1.6797677188183102
BAJAJFINSV-CHOLAFIN,-0.42439143495017734,0.7173341399133906,1.6121620436644726,4.304407156200032,-1.9109064224896146,1.6638266628707803
ONGC-COALINDIA,,1.7141911725495775,0.5030617965070187,1.4426497769040012,0.44615532795540197,
ONGC-GAIL,1.5977567666838524,0.6329199631247175,,0.7725994218157322,-4.216192663989672,2.9301895384498837
BALKRISIND-EXIDEIND,,1.4560503418600508,,,,
SUNPHARMA-LUPIN,,1.3922489077864149,0.19187307808603377,1.1601381298576765,-0.4858530565378218,2.6235577879242236
CIPLA-AUROPHARMA,,1.367314680419525,-0.19575553615284938,0.8135776234780215,-3.0392286662683663,1.2929918991150524
TORNTPHARM-GRANULES,,1.8780456383298434,0.6272195266045191,,,
ALKEM-GRANULES,0.7542125166651663,1.0767536968624847,-0.5216694128320112,,,
GLENMARK-GRANULES,-0.0024089046676095175,3.6356405811376264,-2.4597536837207925,,,
ULTRACEMCO-SHREECEM,-0.00021458440214289378,2.7255512336220353,4.224373468078516,-1.467624795752282,-1.6139492312378378,2.5102389385590795
TATASTEEL-SAIL,,,0.6439253864316966,0.711922439366455,0.6673424167449915,-3.7653702538551235
ITC-MARICO,,-0.06608498322787373,1.3147231759128821,1.8199273428313036,-1.358141025456352,-1.5074675453553001
HAVELLS-CROMPTON,,1.6552058472575149,-1.280928766064885,-0.8083248875217702,0.6763066652911524,-2.2973436915017125
ABB-CUMMINSIND,,2.0045748782308745,-2.409286403605123,-0.15996199675477427,0.6619562018997945,-2.7146182133545778
PIDILITIND-DEEPAKNTR,,0.29214220651945305,,,,
PIDILITIND-SRF,,1.1016780788171991,1.5118474792984355,1.7583508821481504,0.27015444066587346,0.6576444672669881
DEEPAKNTR-SRF,,,,,,
