stock_a,stock_b,sharpe,net_pnl,profitable,margin
HAVELLS,KEI,2.47,702.2,True,592.9
VOLTAS,BLUESTARCO,2.41,382.0,True,496.5
MGL,ATGL,2.34,3838.4,True,514.3
IGL,ATGL,2.19,372.8,True,153.2
ULTRACEMCO,JKCEMENT,1.93,5603.4,True,4165.6
HAL,MAZDOCK,1.7,818.5,True,1560.7
POLYCAB,KEI,1.65,2672.9,True,2347.1
TATASTEEL,JINDALSTEL,1.51,80.9,True,60.0
BANDHANBNK,CUB,1.38,263.2,True,77.2
GODREJPROP,LODHA,1.27,598.4,True,837.8
BALKRISIND,EXIDEIND,1.23,1199.4,True,1028.2
CHOLAFIN,MUTHOOTFIN,1.17,942.0,True,529.3
BAJAJFINSV,CHOLAFIN,1.04,756.7,True,691.1
SUNPHARMA,LUPIN,1.0,576.4,True,603.2
IOC,HINDPETRO,0.89,64.5,True,54.1
SRF,ATUL,0.88,881.2,True,1029.1
ADANIGREEN,ADANIENSOL,0.86,214.7,True,404.7
FEDERALBNK,CUB,0.82,71.1,True,74.7
ALKEM,GRANULES,0.75,1954.5,True,1935.2
OIL,COALINDIA,0.73,102.4,True,173.7
BANKBARODA,INDIANB,0.73,34.7,True,94.8
HINDUNILVR,DABUR,0.71,681.2,True,989.2
ONGC,OIL,0.67,28.9,True,94.0
TORNTPHARM,GLENMARK,0.63,1024.1,True,1162.1
HDFCAMC,KFINTECH,0.61,1978.0,True,1410.8
NTPC,TATAPOWER,0.56,100.9,True,124.9
HAVELLS,BLUESTARCO,0.5,118.0,True,592.9
HAVELLS,CROMPTON,0.48,438.0,True,592.9
ONGC,COALINDIA,0.47,57.1,True,94.0
SBIN,UNIONBANK,0.31,71.4,True,308.6
AXISBANK,SBIN,0.28,120.7,True,443.2
POWERGRID,TORNTPOWER,0.23,12.5,True,110.8
ICICIPRULI,LICI,0.19,17.2,True,234.9
ITC,DABUR,0.14,41.1,True,167.9
IRB,NBCC,-0.06,-0.2,False,19.9
LT,NCC,-0.32,-1005.9,False,1339.2
