stock_a,stock_b,sharpe,net_pnl,profitable,margin
BRITANNIA,COLPAL,2.03,86.8,True,2096.7
ULTRACEMCO,SHREECEM,2.02,514.1,True,4165.6
ITC,BRITANNIA,2.01,3.7,True,167.9
GLENMARK,GRANULES,1.42,22.4,True,453.1
BAJAJFINSV,MANAPPURAM,1.16,10.2,True,691.1
BAJAJFINSV,CHOLAFIN,1.05,63.9,True,691.1
HAVELLS,VOLTAS,0.5,11.3,True,592.9
ONGC,GAIL,0.49,3.8,True,94.0
BANKBARODA,PNB,-0.61,-2.2,False,94.8
CROMPTON,VOLTAS,-0.65,-3.4,False,129.3
AXISBANK,KOTAKBANK,-0.79,-203.0,False,443.2
ICICIBANK,KOTAKBANK,-0.8,-463.2,False,471.2
FEDERALBNK,BANDHANBNK,-0.85,-0.0,False,74.7
ONGC,COALINDIA,-0.86,-7.3,False,94.0
SBIN,KOTAKBANK,-0.86,-107.1,False,308.6
TATASTEEL,SAIL,-0.87,-3.1,False,60.0
KOTAKBANK,INDUSINDBK,-0.92,-40.9,False,691.1
NTPC,TATAPOWER,-0.94,-0.0,False,124.9
ITC,DABUR,-0.95,-3.8,False,167.9
CIPLA,AUROPHARMA,-1.01,-44.9,False,543.3
HINDUNILVR,ITC,-1.01,-0.0,False,989.2
BALKRISIND,EXIDEIND,-1.32,-0.0,False,1028.2
HDFCBANK,KOTAKBANK,-1.42,-9.1,False,602.8
BANDHANBNK,AUBANK,-1.43,-0.0,False,77.2
HINDUNILVR,DABUR,-1.61,-11.2,False,989.2
BAJAJFINSV,MUTHOOTFIN,-1.84,-37.6,False,691.1
FEDERALBNK,CUB,-2.48,-0.0,False,64.0
BANDHANBNK,CUB,-2.63,-0.9,False,83.5
HDFCBANK,INDUSINDBK,,0.0,False,602.8
AXISBANK,SBIN,,0.0,False,443.2
CHOLAFIN,MUTHOOTFIN,,0.0,False,529.3
INFY,HCLTECH,,0.0,False,620.2
INFY,TECHM,,0.0,False,620.2
COALINDIA,GAIL,,0.0,False,150.6
IOC,HINDPETRO,,0.0,False,54.1
MGL,GUJGASLTD,,0.0,False,506.9
TATAPOWER,TORNTPOWER,,0.0,False,142.2
SUNPHARMA,CIPLA,,0.0,False,603.2
SUNPHARMA,LUPIN,,0.0,False,603.2
CIPLA,LUPIN,,0.0,False,543.3
TORNTPHARM,GLENMARK,,0.0,False,1162.1
TORNTPHARM,GRANULES,,0.0,False,1045.5
ALKEM,GRANULES,,0.0,False,1857.0
ULTRACEMCO,JKCEMENT,,0.0,False,3843.2
TATASTEEL,JINDALSTEL,,0.0,False,60.0
ITC,MARICO,,0.0,False,167.9
HAVELLS,CROMPTON,,0.0,False,592.9
SIEMENS,ABB,,0.0,False,1763.9
SIEMENS,CUMMINSIND,,0.0,False,1763.9
SIEMENS,BOSCHLTD,,0.0,False,1763.9
ABB,CUMMINSIND,,0.0,False,2230.0
CUMMINSIND,BOSCHLTD,,0.0,False,1230.1
PIDILITIND,DEEPAKNTR,,0.0,False,1111.6
PIDILITIND,SRF,,0.0,False,1016.7
DEEPAKNTR,SRF,,0.0,False,906.4
SRF,NAVINFLUOR,,0.0,False,956.8
SRF,ATUL,,0.0,False,956.8
