stock_a,stock_b,sharpe,net_pnl,profitable,margin
BAJAJFINSV,CHOLAFIN,1.01,261.3,True,777.4
PIDILITIND,SRF,0.97,3868.8,True,894.7
SUNPHARMA,LUPIN,0.96,253.1,True,687.4
HDFCBANK,KOTAKBANK,0.94,1196.2,True,542.3
TORNTPHARM,GRANULES,0.81,230.3,True,1456.7
ONGC,COALINDIA,0.77,27.9,True,100.7
AXISBANK,KOTAKBANK,0.76,2265.0,True,474.2
SBIN,KOTAKBANK,0.72,1075.5,True,358.3
ULTRACEMCO,SHREECEM,0.68,3478.4,True,4729.7
KOTAKBANK,INDUSINDBK,0.6,155.5,True,653.1
BANKBARODA,PNB,0.59,31.3,True,102.8
ICICIBANK,KOTAKBANK,0.55,3457.8,True,543.7
ALKEM,GRANULES,0.44,195.3,True,2114.9
BALKRISIND,EXIDEIND,0.41,67.3,True,1045.3
FEDERALBNK,BANDHANBNK,0.27,23.9,True,91.5
PIDILITIND,DEEPAKNTR,0.13,19.0,True,894.7
GLENMARK,GRANULES,0.1,31.1,True,740.8
HDFCBANK,INDUSINDBK,-0.08,-23.0,False,542.3
CIPLA,AUROPHARMA,-0.2,-48.1,False,583.4
ITC,MARICO,-0.21,-15.6,False,155.0
TATASTEEL,SAIL,-0.36,-9.8,False,67.7
ONGC,GAIL,-0.41,-22.2,False,100.7
HAVELLS,CROMPTON,-0.66,-233.8,False,586.1
ABB,CUMMINSIND,-1.06,-2151.5,False,2273.6
BANDHANBNK,AUBANK,-1.12,-68.6,False,65.2
DEEPAKNTR,SRF,,0.0,False,839.6
